GID_2,id,province,district,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022
KHM.2.6_2,85,Batdâmbâng,KoasKrala,811,868,890,1428,868,928,963,968,970,1004,1074,1142,1177,1224,1299,1459,1569,1694,1772,1815,1915,1845,1929,2000,2136,2261,2462,2567,2897,2637,2604,2570,2636
KHM.2.7_2,86,Batdâmbâng,MoungRuessei,808,831,863,1263,847,940,975,983,982,1021,1130,1101,1146,1202,1328,1674,1466,1776,1911,1921,1997,2199,2448,2438,2561,2711,2817,1854,2174,2417,2156,2553,2969
KHM.2.8_2,87,Batdâmbâng,PhnumProek,909,918,974,1516,937,1015,1089,1107,1103,1151,1107,1071,1067,1162,1257,1336,1580,1894,2029,2033,2087,2043,2281,2136,2144,1810,2046,1924,1966,2301,2512,2815,3846
KHM.2.9_2,88,Batdâmbâng,RotonakMondol,815,876,898,1401,835,890,834,755,765,846,904,961,964,942,1049,1206,1304,1440,1514,1667,1742,1849,1875,1927,2089,2268,2654,2692,2851,2916,2829,2536,3047
KHM.20.1_2,89,Rôtânôkiri,AndoungMeas,847,871,893,1398,881,903,930,935,951,1039,1113,1183,1229,1280,1381,1540,1574,1699,1777,1784,1928,1838,1929,1915,2051,2239,2289,2353,2616,2874,2642,2696,2983
KHM.20.2_2,90,Rôtânôkiri,BanLung,850,854,865,1395,902,1029,1079,1074,1128,1264,1370,1392,1567,1523,1586,1745,1880,1965,2394,2670,2872,2466,2534,2557,2765,2919,3024,4269,4616,4817,4434,2715,2393
KHM.20.3_2,91,Rôtânôkiri,BarKaev,711,727,752,1107,697,703,790,794,867,948,987,1050,1099,1149,1253,1330,1458,1361,1304,1315,1352,1291,1368,1427,1523,1608,1650,1860,1989,2092,2087,2064,2316
KHM.20.4_2,92,Rôtânôkiri,KounMom,699,719,734,1159,730,739,756,759,751,818,934,1021,1053,1089,1093,1138,1252,1353,1407,1320,1348,1351,1442,1503,1559,1700,1811,1823,1982,2179,2000,2395,2245
KHM.20.5_2,93,Rôtânôkiri,Lumphat,756,777,803,1259,792,806,834,838,853,932,998,1042,1076,1135,1225,1378,1483,1601,1652,1588,1727,1658,1715,1789,1831,1860,1965,2035,2211,2283,2143,2046,2193
KHM.20.6_2,94,Rôtânôkiri,OuChum,744,766,772,1204,798,812,853,832,854,934,973,1034,1018,1017,1105,1245,1368,1476,1540,1428,1479,1327,1422,1714,1817,1919,1985,2070,2186,2113,1984,1935,1946
KHM.20.7_2,95,Rôtânôkiri,OuYaDav,769,791,717,1123,707,714,735,739,752,809,866,921,950,1001,1080,1203,1431,1544,1614,1623,1694,1662,1722,1971,2083,2207,2321,2537,2804,2899,2697,2658,2719
KHM.20.8_2,96,Rôtânôkiri,TaVeaeng,878,903,926,1451,735,773,796,800,814,890,945,1004,1045,1103,1190,1331,1420,1905,1971,1905,2001,1950,2021,2108,2218,2342,2453,2577,2815,2974,2790,2752,2825
KHM.20.9_2,97,Rôtânôkiri,VeunSai,733,754,779,1221,753,786,809,812,827,904,968,1029,1071,1121,1210,1304,1419,1532,1609,1516,1587,1487,1526,1592,1662,1755,1852,1951,2066,2172,2039,2239,2326
KHM.21.10_2,98,Siemréab,SreiSnam,642,661,678,1135,668,689,737,711,725,862,938,1014,1056,1122,1210,1450,1419,1527,1592,1579,1604,1596,1660,1767,1767,2166,2298,2531,2977,2841,2871,2927,3081
KHM.21.11_2,99,Siemréab,SvayLeu,888,916,940,1544,888,946,974,973,991,999,1070,1137,1194,1265,1370,1540,1676,1805,1927,1961,1972,1966,2085,2257,2310,2480,2415,2412,2732,3007,3010,2757,2755
KHM.21.12_2,100,Siemréab,TonléSap,935,973,1001,1620,990,1038,1053,1057,1081,1197,1282,1387,1489,1662,1685,1888,2060,2204,2329,2321,2415,2572,2530,2508,2523,2560,2627,2724,3042,3242,3099,3293,3380
