GID_2,id,province,district,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022
KHM.6.2_2,169,KâmpóngThum,KampongSvay,523,557,571,904,554,583,615,634,748,859,947,992,1031,1016,1079,1003,1128,1247,1259,1224,1386,1372,1462,1593,1679,1958,2076,2269,2942,3042,2880,2976,3020
KHM.6.3_2,170,KâmpóngThum,PrasatBallangk,695,715,736,1148,729,820,844,847,860,940,1002,1043,1083,1131,1199,1382,1487,1590,1708,1747,1830,2017,2253,2464,2433,2686,2818,3083,3311,3484,3198,3625,3520
KHM.6.4_2,171,KâmpóngThum,PrasatSambour,654,673,691,1120,681,769,782,794,801,950,1043,1072,1103,1185,1189,1432,1363,1508,1506,1457,1539,1421,1518,1600,1786,1927,2158,2176,2494,2557,2736,3192,3120
KHM.6.5_2,172,KâmpóngThum,Sandan,551,566,591,926,574,611,628,655,643,691,869,944,839,875,944,1051,1261,1361,1410,1522,1593,1508,1580,1649,1745,1815,1928,2162,2384,2506,2434,2491,2631
KHM.6.6_2,173,KâmpóngThum,Santuk,529,544,522,766,436,581,500,608,607,757,815,879,960,1045,1087,1373,1350,1456,1514,1649,1602,1549,1543,1748,1758,1826,1986,2176,2523,2666,2407,2685,3023
KHM.6.7_2,174,KâmpóngThum,Stoung,542,557,623,1001,614,661,602,610,648,768,950,1001,1042,1066,1215,1357,1443,1553,1639,1671,1768,1890,1818,1807,1825,2053,2235,2029,2395,2912,2808,3500,3585
KHM.6.8_2,175,KâmpóngThum,StuengSaen,791,850,870,1475,887,901,928,804,846,867,871,912,949,1229,1327,1355,1665,2188,2347,1580,1606,1927,2137,2083,2140,2172,2463,2792,2988,2452,2144,2571,2610
KHM.6.9_2,176,KâmpóngThum,TonléSap,691,711,759,1188,748,764,786,790,780,800,857,899,952,1009,1083,1207,1157,1438,1493,1507,1567,1396,1480,1488,1597,1629,1920,2039,2225,2520,2349,2389,2693
KHM.7.1_2,177,Kâmpôt,AngkorChey,870,772,801,1278,763,711,767,739,733,837,865,897,856,904,975,1071,1251,1423,1454,1490,1531,1637,1999,2050,2085,2175,2759,3294,4137,4145,3469,3506,2929
KHM.7.2_2,178,Kâmpôt,BanteayMeas,680,703,694,1143,731,726,746,753,762,886,1001,1069,1126,1156,1250,1347,1383,1507,1572,1367,1377,1623,1761,1703,1906,2120,2534,2023,2024,2315,2274,2196,2168
KHM.7.3_2,179,Kâmpôt,Chhuk,615,660,675,1111,672,688,691,760,750,893,897,1037,992,912,1104,1186,1421,1389,1361,1359,1385,1464,1688,1748,1886,1988,2143,2393,2557,2654,2430,2758,2630
KHM.7.4_2,180,Kâmpôt,ChumKiri,720,717,735,1233,724,788,789,791,802,964,950,1043,1083,1142,1232,1429,1517,1631,1672,1647,1613,1680,1679,1723,1913,2070,2297,2451,2638,2770,2440,3459,4002
KHM.7.5_2,181,Kâmpôt,DangTong,601,618,644,1063,632,656,702,709,700,868,970,1114,1074,1178,1170,1166,1339,1328,1402,1444,1470,1849,1736,1800,1979,1822,2094,2048,2503,2456,2555,2397,2659
KHM.7.6_2,182,Kâmpôt,KampongTrach,707,727,752,1221,737,743,821,781,765,907,993,985,1044,1023,1099,1244,1274,1341,1362,1379,1361,1862,2054,2005,2181,2169,2383,2102,2683,2410,2331,2790,2467
KHM.7.7_2,183,Kâmpôt,Kampot,950,977,1001,1621,987,906,1059,1037,936,1044,1118,1196,1342,1495,1600,1598,1901,2071,2357,2348,2435,2591,2659,2989,2983,3183,3253,2977,3185,3171,2977,3071,3582
KHM.7.8_2,184,Kâmpôt,TuekChhou,787,809,829,1370,817,850,793,779,939,1064,1209,1272,1332,1417,1518,1538,1824,1968,2098,1889,1873,1977,2183,2301,2282,2413,2736,3180,2884,3107,2917,3422,3448
KHM.8.10_2,185,Kândal,S'ang,1259,1295,1339,1983,1265,1058,1030,1226,1244,1270,1359,1269,1713,1643,1758,2249,2267,2798,2938,2676,2596,2688,2822,3072,3079,3251,3837,3806,4582,5152,4837,4574,4695
KHM.8.11_2,186,Kândal,TaKhmau,3466,3565,3656,5645,3605,3861,3975,3995,4065,4437,4750,5048,5255,5518,5954,6654,7206,7776,8170,8120,8568,8718,8982,8729,9214,9728,10408,10913,10912,11428,10730,10914,11190
KHM.8.1_2,187,Kândal,AngkSnuol,797,808,887,1306,863,933,973,957,1045,1193,1276,1318,1435,1480,1531,1940,3074,3317,4211,4269,4455,5078,5290,5518,6168,6513,6975,5788,6188,6925,6427,6486,6698
KHM.8.2_2,188,Kândal,KandalStueng,927,1061,1155,1791,1183,1222,1347,1353,1378,1496,1601,1979,2059,2240,2535,3039,3665,3970,4171,4190,4819,4809,5011,6023,5949,6281,5668,5477,5860,5721,5949,6493,6439
KHM.8.3_2,189,Kândal,KaohThum,599,805,711,1257,764,681,727,750,762,922,920,1086,1141,1215,1330,1317,1548,1811,2045,1943,2085,2355,2440,2561,3066,3559,3178,3449,3141,3691,3424,3189,3139
KHM.8.4_2,190,Kândal,KhsachKandal,1532,1576,1540,2381,1519,1676,1887,1458,1484,1594,1707,1814,1839,2095,2245,2876,2340,2525,2653,2668,2824,3142,3264,3405,4406,4764,5217,5758,5971,6303,5602,6245,5710
KHM.8.5_2,191,Kândal,KienSvay,817,844,979,1750,1137,1604,1852,1836,1868,2077,2223,2371,2370,2405,2594,2862,3137,3020,3223,3313,3532,3783,4291,4477,4596,4411,4812,5478,5703,6226,5841,3525,3825
KHM.8.6_2,192,Kândal,LeukDaek,781,769,792,1316,813,842,766,826,886,1018,1167,1188,1072,1300,1355,1398,1516,1640,1698,1617,2601,2775,2785,2859,2842,2806,3013,2682,2976,3137,2799,3048,3280
KHM.8.7_2,193,Kândal,LveaAem,2438,2508,2569,3928,2533,2722,2802,2814,2772,3003,3214,3560,3705,3888,4207,4497,5090,5492,5777,5743,5974,6069,6245,8110,8406,8875,9441,9773,9770,10215,9590,9776,9927
KHM.8.8_2,194,Kândal,MukhKampul,689,715,730,943,581,649,667,660,683,744,794,1022,1060,1107,1194,1348,1409,1757,1846,1849,1935,2177,2377,2731,2914,3069,3264,3194,3533,3655,3447,3351,3328
KHM.8.9_2,195,Kândal,PonheaLueu,867,902,998,1597,951,1011,1090,1096,1077,1210,1301,1339,1439,1380,1503,1691,1781,1930,2028,2174,2282,2532,2558,2669,2724,2876,3333,3142,3520,3473,3289,3105,3264
KHM.9.1_2,196,KaôhKong,BotumSakor,838,852,880,1384,871,892,918,904,920,1006,1077,1145,1185,1255,1399,1569,1674,1901,1944,1957,2016,2178,2275,2384,2507,2765,2893,2955,3277,3335,3289,3232,3338
KHM.9.2_2,197,KaôhKong,KaohKong,755,776,802,1255,791,804,828,832,966,1056,1131,1202,1249,1315,1419,1569,1708,1843,1907,1841,1929,1865,1933,1991,2131,2191,2279,2460,2591,2728,2651,2580,2671
KHM.9.3_2,198,KaôhKong,KhemaraPhoumin,588,541,595,924,684,639,698,773,877,935,953,947,987,868,936,1129,913,954,1038,994,1112,1225,1360,1456,1717,1921,1980,2203,2289,2527,2425,2948,3405
KHM.9.4_2,199,KaôhKong,KiriSakor,770,792,813,1272,801,816,840,860,875,957,1024,1089,1133,1184,1278,1418,1517,1636,1720,1706,1775,1827,1917,2003,2098,2393,2549,2750,3160,3290,3074,3188,3240
KHM.9.5_2,200,KaôhKong,MondolSeima,600,488,567,858,633,604,659,625,514,611,712,814,852,964,1041,1082,1183,1237,1461,1520,1562,1601,1637,1776,1799,1884,2002,2401,2712,2732,2652,2634,2470
KHM.9.6_2,201,KaôhKong,SraeAmbel,657,672,721,1199,708,725,746,762,788,897,910,958,943,996,1091,1260,1284,1403,1521,1548,1637,1645,1686,2073,2119,2233,2667,3100,3426,3663,3396,3563,3467
KHM.9.7_2,202,KaôhKong,ThmaBang,883,908,933,1462,920,945,972,977,995,1087,1164,1237,1277,1347,1454,1621,1765,1931,2029,1932,2030,1962,2033,2121,2198,2321,2460,2522,2726,2875,2699,2596,2682
