GID_2,id,province,district,trend400_ln_y1990,trend400_ln_y1991,trend400_ln_y1992,trend400_ln_y1993,trend400_ln_y1994,trend400_ln_y1995,trend400_ln_y1996,trend400_ln_y1997,trend400_ln_y1998,trend400_ln_y1999,trend400_ln_y2000,trend400_ln_y2001,trend400_ln_y2002,trend400_ln_y2003,trend400_ln_y2004,trend400_ln_y2005,trend400_ln_y2006,trend400_ln_y2007,trend400_ln_y2008,trend400_ln_y2009,trend400_ln_y2010,trend400_ln_y2011,trend400_ln_y2012,trend400_ln_y2013,trend400_ln_y2014,trend400_ln_y2015,trend400_ln_y2016,trend400_ln_y2017,trend400_ln_y2018,trend400_ln_y2019,trend400_ln_y2020,trend400_ln_y2021,trend400_ln_y2022
KHM.1.1_2,1,BântéayMéanchey,Malai,6.428658,6.4625793,6.4967198,6.531558,6.5675278,6.6060672,6.6482897,6.694983,6.7466116,6.8032684,6.8645701,6.9300303,6.9991088,7.0710688,7.1448388,7.2189732,7.2922077,7.363636,7.4326806,7.4990296,7.5624452,7.6226392,7.6791,7.7314157,7.7792215,7.8223057,7.8607049,7.8947968,7.9254179,7.9534988,7.979897,8.0054531,8.0307531
KHM.1.2_2,2,BântéayMéanchey,MongkolBorei,7.0728068,7.1144967,7.1559544,7.1966839,7.2363024,7.2755299,7.3149662,7.3551149,7.3963575,7.438828,7.4823475,7.5266919,7.5716529,7.6170259,7.6626039,7.7082214,7.7538095,7.7991381,7.843895,7.887794,7.9308019,7.9730325,8.014554,8.0551119,8.0941496,8.1309643,8.1648903,8.1958055,8.2239752,8.2497234,8.2737732,8.2969866,8.3200121
KHM.1.3_2,3,BântéayMéanchey,OuChrov,7.5799642,7.604713,7.629385,7.6538386,7.677865,7.7022123,7.7274055,7.7538767,7.7819877,7.8114457,7.8418541,7.8727779,7.9038692,7.9348035,7.965302,7.9951744,8.0244341,8.053381,8.0827332,8.1131706,8.1451902,8.1790085,8.2146168,8.2518215,8.2902603,8.3294315,8.368803,8.407856,8.4458961,8.4824791,8.5175171,8.5514383,8.585001
KHM.1.4_2,4,BântéayMéanchey,PaoyPaet,7.1861162,7.1741867,7.1625471,7.1518183,7.1429925,7.138545,7.1406722,7.151083,7.1710734,7.2014441,7.2424259,7.2937679,7.3547926,7.424686,7.5025039,7.5870514,7.6768422,7.7700553,7.8646736,7.9590774,8.0517206,8.1416206,8.2281065,8.3108969,8.3899994,8.465601,8.5380163,8.6075583,8.6746683,8.7399244,8.8039579,8.867444,8.9307394
KHM.1.5_2,5,BântéayMéanchey,PhnumSrok,6.4590869,6.4965916,6.5341101,6.5716529,6.6091895,6.6478167,6.6883736,6.7314892,6.7775817,6.8267293,6.8785563,6.9325471,6.9881949,7.0450139,7.1025152,7.1600909,7.2170997,7.2730212,7.327745,7.3815885,7.4350615,7.4887633,7.5432754,7.5990067,7.6561904,7.7148571,7.774929,7.8362021,7.8984408,7.9612851,8.0243855,8.0876341,8.1508684
KHM.1.6_2,6,BântéayMéanchey,PreahNetrPreah,6.60569,6.6253128,6.6448898,6.6643534,6.6836543,6.7038131,6.7257366,6.7501163,6.7777209,6.809175,6.8449311,6.8851719,6.9297729,6.9782782,7.0301189,7.0848012,7.1418834,7.2011638,7.2625766,7.3262315,7.3923416,7.4608688,7.5313787,7.6032572,7.6761875,7.7499352,7.8244162,7.8996286,7.9755549,8.0521688,8.129487,8.2075138,8.2859783
KHM.1.7_2,7,BântéayMéanchey,SereiSaophoan,7.5556269,7.5768833,7.598145,7.6194367,7.6408157,7.663403,7.6882076,7.7162209,7.7482867,7.7849803,7.8265419,7.8728805,7.9236417,7.9783206,8.0361366,8.0960331,8.1567144,8.2166281,8.2745686,8.3297215,8.381629,8.4300613,8.4747763,8.5154409,8.5516958,8.5831518,8.6094093,8.6301537,8.6454172,8.655756,8.6623678,8.6670313,8.6711407
KHM.1.8_2,8,BântéayMéanchey,SvayChek,6.500668,6.5299506,6.5592422,6.5885611,6.6180787,6.6487908,6.6813974,6.7165999,6.7549291,6.7966704,6.8420086,6.8909783,6.9435239,6.9992924,7.0576024,7.1173968,7.1772861,7.2362428,7.2934847,7.3484678,7.4008555,7.4503922,7.4969463,7.54071,7.5821753,7.6217546,7.6596942,7.6961894,7.7314196,7.7654924,7.7987261,7.831562,7.8642673
KHM.1.9_2,9,BântéayMéanchey,ThmaPuok,6.4894691,6.5269237,6.5643859,6.6018457,6.6392369,6.6776032,6.7176976,6.7600837,6.8051414,6.852963,6.9033108,6.9558125,7.009984,7.0653315,7.1213179,7.1773667,7.2329106,7.2875662,7.3411655,7.3936982,7.4452863,7.4960341,7.5461016,7.5957952,7.6454277,7.6950674,7.7446399,7.7940116,7.8430076,7.8914576,7.939487,7.9872913,8.0349855
KHM.10.1_2,10,Kep,DamnakChang'aeur,6.4253349,6.462584,6.4998312,6.537097,6.574389,6.6128936,6.653573,6.6971693,6.744247,6.795042,6.8493905,6.9069767,6.9673667,7.0300326,7.0942988,7.1593738,7.2243857,7.2884912,7.3512197,7.4124613,7.4722681,7.5307183,7.5877824,7.6434612,7.6978664,7.7511058,7.8031726,7.8540206,7.9036813,7.9522204,7.9999571,8.0472574,8.0943193
