GID_2,id,province,district,trend6_ln_y1990,trend6_ln_y1991,trend6_ln_y1992,trend6_ln_y1993,trend6_ln_y1994,trend6_ln_y1995,trend6_ln_y1996,trend6_ln_y1997,trend6_ln_y1998,trend6_ln_y1999,trend6_ln_y2000,trend6_ln_y2001,trend6_ln_y2002,trend6_ln_y2003,trend6_ln_y2004,trend6_ln_y2005,trend6_ln_y2006,trend6_ln_y2007,trend6_ln_y2008,trend6_ln_y2009,trend6_ln_y2010,trend6_ln_y2011,trend6_ln_y2012,trend6_ln_y2013,trend6_ln_y2014,trend6_ln_y2015,trend6_ln_y2016,trend6_ln_y2017,trend6_ln_y2018,trend6_ln_y2019,trend6_ln_y2020,trend6_ln_y2021,trend6_ln_y2022
KHM.1.1_2,1,BântéayMéanchey,Malai,6.5453587,6.5650053,6.5799856,6.5858998,6.5621109,6.5435877,6.5453997,6.571713,6.6224918,6.6937132,6.7706127,6.8494673,6.938086,7.0445533,7.1654015,7.2773418,7.3655305,7.4285679,7.4744377,7.5176954,7.571034,7.6408215,7.717844,7.79635,7.8673439,7.9212584,7.9503756,7.9529486,7.9422083,7.928092,7.9132905,7.903347,7.8981814
KHM.1.2_2,2,BântéayMéanchey,MongkolBorei,7.0142379,7.1137047,7.2077055,7.2739429,7.2891927,7.2883573,7.2902141,7.3053341,7.3404336,7.394383,7.4549446,7.5140724,7.5691457,7.6198254,7.6659803,7.7097225,7.758728,7.8102274,7.855329,7.8850961,7.9048576,7.9298429,7.9765511,8.0477209,8.1327553,8.2129402,8.2658463,8.2905092,8.2947836,8.2751732,8.2421494,8.2111492,8.1891479
KHM.1.3_2,3,BântéayMéanchey,OuChrov,7.5746408,7.6255455,7.6723614,7.7035785,7.6964931,7.6816297,7.672286,7.6791453,7.717154,7.771348,7.8305254,7.8873711,7.9420104,7.9936981,8.0385284,8.0688696,8.0783701,8.0671377,8.0536404,8.051506,8.0673866,8.099802,8.1454153,8.2015314,8.2659845,8.3354845,8.4088984,8.4848099,8.5443096,8.5719614,8.5595341,8.5175953,8.4709606
KHM.1.4_2,4,BântéayMéanchey,PaoyPaet,7.3674326,7.3555655,7.3332005,7.2821021,7.1804099,7.0803986,7.0104122,6.9769869,6.9810576,7.0196791,7.0838356,7.1628685,7.2440214,7.3268685,7.4203391,7.5329823,7.6678295,7.8151112,7.954031,8.0819178,8.1866064,8.2723045,8.3414917,8.4008484,8.4573078,8.5149422,8.5750723,8.6311693,8.6789865,8.7191257,8.7551517,8.7964869,8.8400669
KHM.1.5_2,5,BântéayMéanchey,PhnumSrok,6.4903259,6.5469832,6.5995221,6.63555,6.6295781,6.6180878,6.6177545,6.6365752,6.6803389,6.7483053,6.8262067,6.9033713,6.9781256,7.0546913,7.1387892,7.2270041,7.3078609,7.3670568,7.4018731,7.4220362,7.437655,7.4581285,7.4912667,7.5387774,7.5994558,7.6686959,7.7441125,7.8225465,7.9037995,7.9819112,8.0507126,8.1161613,8.1766348
KHM.1.6_2,6,BântéayMéanchey,PreahNetrPreah,6.6153932,6.6689177,6.7179875,6.7496905,6.7406969,6.7224021,6.7098637,6.7013373,6.7026114,6.7179918,6.7528572,6.8098235,6.8866706,6.9719691,7.0539417,7.1266551,7.1837053,7.2273555,7.261826,7.2984333,7.3552165,7.4385428,7.5354118,7.6248894,7.704401,7.7731938,7.8356204,7.8975706,7.9621196,8.0321798,8.1154881,8.2221813,8.3471642
KHM.1.7_2,7,BântéayMéanchey,SereiSaophoan,7.5856938,7.6362228,7.6822362,7.7110682,7.6986313,7.6742067,7.6507192,7.6382327,7.6433368,7.6679244,7.7092433,7.7620811,7.823091,7.8970394,7.987237,8.0921431,8.2028666,8.2946997,8.3578033,8.3946943,8.4175653,8.4427986,8.4800692,8.5314798,8.5962944,8.6694908,8.7383089,8.7813358,8.7790117,8.7210217,8.6166515,8.5020256,8.3960018
KHM.1.8_2,8,BântéayMéanchey,SvayChek,6.533061,6.5814857,6.6253066,6.6522889,6.6493602,6.6460724,6.6480474,6.6613708,6.686584,6.7174063,6.7519712,6.7915421,6.8459821,6.9220176,7.0209928,7.1325803,7.2310314,7.3112926,7.3754849,7.4288907,7.4769573,7.517549,7.5441375,7.560297,7.5811467,7.6136508,7.6542463,7.6974897,7.7376647,7.7643533,7.7796078,7.7934875,7.8080025
KHM.1.9_2,9,BântéayMéanchey,ThmaPuok,6.5145726,6.5713692,6.6245933,6.6625509,6.6601796,6.6538715,6.6579251,6.6784339,6.7192292,6.7788072,6.8483157,6.9221425,6.9963145,7.0715995,7.1482382,7.2228947,7.2885623,7.3426714,7.3875551,7.4268017,7.4651098,7.5007253,7.5321636,7.5667696,7.6143422,7.6738157,7.7398815,7.8068376,7.867147,7.9114838,7.9456515,7.9765992,8.0052528
KHM.10.1_2,10,Kep,DamnakChang'aeur,6.4578538,6.5193748,6.5756178,6.613534,6.6072164,6.593955,6.5914264,6.6062789,6.6436558,6.7023654,6.771574,6.8456063,6.9237165,7.0089064,7.1017814,7.198781,7.2901483,7.3615394,7.4120278,7.4520369,7.4925909,7.5401597,7.5909305,7.6416736,7.695641,7.7561421,7.8195162,7.8787894,7.9293671,7.9647856,7.9907947,8.0140972,8.0321045
KHM.10.2_2,11,Kep,Kaeb,6.4550848,6.5058103,6.5529928,6.5859942,6.5807781,6.5732036,6.5790381,6.601337,6.6402736,6.6931543,6.7510366,6.8135018,6.8726692,6.9305363,6.9964643,7.0667796,7.1342907,7.1910715,7.2328234,7.2662463,7.295228,7.3281565,7.3626094,7.3999476,7.4456468,7.5017323,7.5664096,7.6340251,7.7012916,7.7600226,7.8145399,7.8806839,7.9527216
KHM.11.1_2,12,Krâchéh,ChetrBorei,6.4186506,6.484901,6.5474091,6.5959096,6.6076317,6.619174,6.6339555,6.6582875,6.6971126,6.7522178,6.8191328,6.8954411,6.9799094,7.0718298,7.163835,7.2545128,7.3428416,7.4250069,7.4973912,7.5570035,7.6063194,7.6520138,7.697557,7.743669,7.7840195,7.8124924,7.8268595,7.8322139,7.8366814,7.8354006,7.8289895,7.8207302,7.8115058
KHM.11.2_2,13,Krâchéh,Chhloung,6.4401178,6.4989128,6.5560441,6.6033564,6.6180606,6.6334209,6.6561389,6.6929002,6.7494531,6.8294172,6.9234171,7.0223088,7.1233139,7.2267089,7.3287821,7.4230409,7.5010357,7.5635905,7.6145129,7.6598582,7.7018147,7.743813,7.7861924,7.8304472,7.8705096,7.9039555,7.927815,7.939002,7.9370422,7.9118476,7.8621111,7.7999878,7.7355866
KHM.11.3_2,14,Krâchéh,Kracheh,6.6216431,6.6925864,6.7664471,6.8349667,6.8710914,6.903594,6.9316096,6.9613676,6.9979787,7.0520568,7.1139145,7.1790109,7.2438507,7.3058362,7.3593154,7.3976698,7.416831,7.4291,7.4389176,7.4530554,7.4754467,7.5015368,7.5261188,7.54913,7.5702577,7.5891833,7.6036258,7.6110845,7.6206412,7.6444778,7.6756468,7.7238364,7.7819872
KHM.11.4_2,15,Krâchéh,PrekPrasab,6.4380145,6.5019326,6.563488,6.6120839,6.6235271,6.6316066,6.6446824,6.6671214,6.7066503,6.7672625,6.8443465,6.9318223,7.0193691,7.1067495,7.1968322,7.2894182,7.3765507,7.4492078,7.5027065,7.5395994,7.5666256,7.5911961,7.618504,7.6494288,7.6807499,7.7130523,7.7480083,7.7928157,7.8413639,7.8743939,7.8868628,7.8898053,7.8907871
KHM.11.5_2,16,Krâchéh,Sambour,6.528758,6.5781865,6.6229796,6.650465,6.6371522,6.6161103,6.6050296,6.6109672,6.6368551,6.6812172,6.7368755,6.798193,6.8629284,6.9323316,7.0071211,7.0832829,7.1533666,7.2104726,7.253068,7.2829509,7.3055663,7.3263278,7.3542051,7.3935971,7.4449902,7.505434,7.5713916,7.6400375,7.7078986,7.7657995,7.8144016,7.8624644,7.9093676
KHM.11.6_2,17,Krâchéh,Snuol,6.8687825,6.9198179,6.9668479,6.9977393,6.9894567,6.9770451,6.9759455,6.9914694,7.0256734,7.0763898,7.1344538,7.1943502,7.2559013,7.3243747,7.4047618,7.4953971,7.5872655,7.6700363,7.7313452,7.7668262,7.7779264,7.7732525,7.761457,7.742887,7.7168441,7.6896133,7.6690516,7.6588979,7.659411,7.6630044,7.6746759,7.6991844,7.7287655
KHM.12.1_2,18,KrongPailin,Pailin,6.7551703,6.7280579,6.6993561,6.674129,6.6368847,6.6176224,6.6289134,6.672224,6.7432823,6.8303223,6.915359,6.9910288,7.0637074,7.1430025,7.2245421,7.2981319,7.344254,7.3653584,7.3731093,7.3801527,7.3890166,7.3996325,7.4185057,7.4523015,7.5063782,7.5862966,7.6899986,7.8058944,7.9252667,8.039854,8.1279249,8.20051,8.269309
KHM.12.2_2,19,KrongPailin,SalaKrau,6.8330445,6.8768673,6.9168487,6.9400525,6.9230351,6.8983912,6.8756366,6.8517461,6.8293133,6.8116856,6.8072281,6.8266811,6.8738527,6.9445205,7.0366564,7.147543,7.2598066,7.3575792,7.4273419,7.4698153,7.4939427,7.5018415,7.4903674,7.4728651,7.4646583,7.4844327,7.5353618,7.6105938,7.7060614,7.8235717,7.9479451,8.0754423,8.1915808
KHM.13.1_2,20,KrongPreahSihanouk,KampongSeila,6.6105876,6.6598392,6.7036314,6.7305694,6.7203074,6.7116113,6.714334,6.735599,6.7840495,6.8569384,6.9352088,7.0080938,7.0771313,7.1486301,7.2290916,7.3179002,7.4065962,7.4836073,7.5443187,7.5905819,7.628428,7.6642551,7.7018862,7.7422791,7.786283,7.8361497,7.8938408,7.9541116,8.0175362,8.085906,8.1599159,8.2448587,8.3294144
KHM.13.2_2,21,KrongPreahSihanouk,PreahSihanouk,8.1283112,8.1806412,8.2299166,8.2661657,8.2684021,8.2682676,8.2780237,8.3015003,8.3371744,8.3828135,8.4325695,8.4836664,8.5393324,8.6027918,8.6750641,8.7525253,8.8274517,8.8934393,8.946207,8.9870005,9.0221157,9.0554028,9.0912809,9.1321869,9.177597,9.2242661,9.2675343,9.3025703,9.3263311,9.3397808,9.3443956,9.3474255,9.3510647
KHM.13.3_2,22,KrongPreahSihanouk,PreyNob,6.4959717,6.5879154,6.6720724,6.7401562,6.7778907,6.8205938,6.8764009,6.9316912,6.9841342,7.0347672,7.0824823,7.1265326,7.1697698,7.217525,7.2737021,7.33462,7.3927932,7.445828,7.4927793,7.5377851,7.5863128,7.638926,7.6911564,7.7466059,7.8135662,7.8955765,7.9952722,8.1080761,8.2215681,8.3064146,8.357563,8.3884192,8.4102993
